Iter;Before STL;STL;Second preproccess;ML phase;Full pipeline;Full pipeline with data load
1;19,78;261,98;20,27;106,75;408,78;409,02
2;17,85;254,51;20,32;104,63;397,31;397,49
3;18,10;259,61;20,98;111,36;410,04;410,24
4;18,32;262,03;20,38;105,85;406,58;406,77
5;18,50;271,73;20,65;105,76;416,65;416,84
6;19,44;276,77;21,16;114,48;431,87;432,07
7;18,91;274,47;21,03;114,93;429,34;429,55
8;18,88;264,45;20,14;102,15;405,62;405,82
9;18,12;247,68;20,18;101,57;387,56;387,75
10;18,16;245,10;20,22;103,00;386,47;386,67
11;18,98;248,29;20,48;105,50;393,24;393,46
12;18,37;245,88;20,42;104,80;389,48;389,68
13;18,37;245,81;20,42;116,45;401,06;401,25
14;18,41;245,30;20,44;105,22;389,37;389,56
15;18,40;244,92;20,46;104,20;387,98;388,16
